"","Group","Spp","Taxa_specific1","FFG","Length","YOY","d15N","d13C","Community"
"1","Littoral","Amphipoda","Amphipoda","Litoral_BL",NA,NA,5.51,-23.48,"Cass-2018"
"2","Littoral","Trichoptera","Hydropsychidae","Litoral_BL",NA,NA,7.45,-25.86,"Cass-2018"
"3","Littoral","Amphipoda","Amphipoda","Litoral_BL",NA,NA,5.32,-22.74,"Cass-2018"
"4","Littoral","Ephemeroptera","Baetidae","Litoral_BL",NA,NA,4.26,-27.16,"Cass-2018"
"5","Littoral","Amphipoda","Amphipoda","Litoral_BL",NA,NA,5.94,-26.07,"Cass-2018"
"6","Littoral","Amphipoda","Amphipoda","Litoral_BL",NA,NA,5.24,-25.67,"Cass-2018"
"7","Littoral","Ephemeroptera","Caenidae","Litoral_BL",NA,NA,3.99,-27.01,"Cass-2018"
"8","Littoral","Amphipoda","Amphipoda","Litoral_BL",NA,NA,4.44,-25.15,"Cass-2018"
"9","Littoral","Amphipoda","Amphipoda","Litoral_BL",NA,NA,5.29,-23.22,"Cass-2018"
"10","Littoral","Ephemeroptera","Caenidae","Litoral_BL",NA,NA,4.57,-25.56,"Cass-2018"
"11","Littoral","Ephemeroptera","Baetidae","Litoral_BL",NA,NA,5.01,-25.31,"Cass-2018"
"12","Littoral","Ephemeroptera","Heptageniidae","Litoral_BL",NA,NA,3.75,-25.6,"Cass-2018"
"13","Littoral","Ephemeroptera","Baetidae","Litoral_BL",NA,NA,4.15,-27.21,"Cass-2018"
"14","Littoral","Trichoptera","Leptoceridae","Litoral_BL",NA,NA,4.57,-25.04,"Kabetogama-2018"
"15","Littoral","Trichoptera","Brachycentridae","Litoral_BL",NA,NA,3.37,-22.59,"Kabetogama-2018"
"16","Littoral","Ephemeroptera","Caenidae","Litoral_BL",NA,NA,1.48,-20.64,"Kabetogama-2018"
"17","Littoral","Amphipoda","Amphipoda","Litoral_BL",NA,NA,3.26,-22.69,"Kabetogama-2018"
"18","Littoral","Trichoptera","Limnephilidae","Litoral_BL",NA,NA,2.5,-23.71,"Kabetogama-2018"
"19","Littoral","Ephemeroptera","Heptageniidae","Litoral_BL",NA,NA,3.33,-20.42,"Kabetogama-2018"
"20","Littoral","Amphipoda","Amphipoda","Litoral_BL",NA,NA,6.45,-23.67,"Kabetogama-2018"
"21","Littoral","Ephemeroptera","Caenidae","Litoral_BL",NA,NA,3.13,-21.74,"Kabetogama-2018"
"22","Littoral","Amphipoda","Amphipoda","Litoral_BL",NA,NA,3.11,-21.55,"Kabetogama-2018"
"23","Littoral","Trichoptera","Limnephilidae","Litoral_BL",NA,NA,3.64,-16.32,"Kabetogama-2018"
"24","Littoral","Trichoptera","Limnephilidae","Litoral_BL",NA,NA,3.47,-19.82,"Kabetogama-2018"
"25","Littoral","Trichoptera","Limnephilidae","Litoral_BL",NA,NA,2.07,-18.5,"Kabetogama-2018"
"26","Littoral","Ephemeroptera","Heptageniidae","Litoral_BL",NA,NA,1.83,-25.2,"Kabetogama-2018"
"27","Littoral","Ephemeroptera","Leptophlebiidae","Litoral_BL",NA,NA,2.98,-28.01,"Kabetogama-2018"
"28","Littoral","Trichoptera","Limnephilidae","Litoral_BL",NA,NA,2.59,-22.92,"Kabetogama-2018"
"29","Littoral","Ephemeroptera","Heptageniidae","Litoral_BL",NA,NA,2.82,-19.4,"Kabetogama-2018"
