species,species_name,Scientific name,FTP,OGT,Temperature preference class,Ctmax,source,Optimum growth temperature,source,FTP field,FTP lab,lower avoidance,upper avoidance ,source,95%,source,species_code
walleye,walleye,Sander vitreus,22.5,22.1,cool,23.4,Hasnain CJFAS,22.1,ISBN - 9781443522786,"20.6, 23.2, 23, 21",,,,"GLFC- Adult, http://testing.glfc.org/pubs/SpecialPubs/Sp87_3.pdf",29,,WAE
sauger,sauger,Sander canadensis,17.6,25.4,cool,35,Hasnain CJFAS,25.4,ISBN - 9781443522786,"20.2, 21, 20.8, 19.7, 21.1","27, 20.9",,,GLFC- Adult; Coutant 1977,29.1,,SAR
yellow perch,yellow_perch,Perca flavescens,19.6,22,cool,31.6,Hasnain CJFAS,22,ISBN - 9781443522786,"19.2, 18.6-19.2, 19, 21.1",,28,22,GLFC- Adult; Coutant 1977,30.1,,YEP
northern pike,northern_pike,Esox lucius,20.7,23,cool,32.6,Hasnain CJFAS,23,ISBN - 9781443522786,19-20,,6,23,GLFC- Adult,28,,NOP
muskellunge,muskellunge,Esox masquinongy,25.4,25.1,warm,32,Hasnain CJFAS,25.1,ISBN - 9781443522786,"21.9, 27.3, 25.6",,,,,,,MUE
large mouth bass,largemouth_bass,Micropterus salmoides,28.6,26.6,warm,38.4,Hasnain CJFAS,26.6,ISBN - 9781443522786,"26.6-27.7, 27-30, 27","28, 27-32, 29.5, 27.1, 30.4",,,GLFC- Adult; Coutant 1977,31.7,,LMB
small mouth bass,smallmouth_bass,Micropterus dolomieu,25,26,warm,36.3,Hasnain CJFAS,26,ISBN - 9781443522786,30-31,30,,,,29.5,,SMB
white bass,white_bass,Morone chrysops,27.3,28.3,warm,35.3,Hasnain CJFAS,-,ISBN - 9781443522786,27.8,28-30,,,,31.4,,WHB
rock bass,rock_bass,Ambloplites rupestris,24.9,28.4,cool,36,Hasnain CJFAS,28.4,ISBN - 9781443522786,"27.5, 27.4, 30",,,,,29.3,,RKB
black crappie,black_crappie,Pomoxis nigromaculatus,23.4,18,cool,34.9,Hasnain CJFAS,18,ISBN - 9781443522786,27.8-29.8,21.7,,,,30.6,,BLC
white crappie,white_crappie,Pomoxis annularis,19.1,22.5,cool,32.8,Hasnain CJFAS,22.5,ISBN - 9781443522786,23,19.4,,,,31.3,,WHC
bluegill,bluegill,Lepomis macrochirus,30.2,29.2,warm,40.2,Hasnain CJFAS,29.2,ISBN - 9781443522786,29.6-32.6,"31, 32",26,35,GLFC Adult; Neill 1971,31.7,,BLG
pumkinseed,pumkinseed,Lepomis gibbosus,27.7,25,warm,37.6,Hasnain CJFAS,25,ISBN - 9781443522786,28.5 - 32,"27.7, 26",22,31,Reutter and Herdendorf 1974; Neill 1971,,,PMK
green sunfish,green_sunfish,Lepomis cyanellus,25.4,28,warm,40,Hasnain CJFAS,28,ISBN - 9781443522786,,30.6,23,33,GLFC Adult; Cherry et al. 1975,31.7,,GSF
black bullhead,black_bullhead,Ameiurus melas,26.1,29.4,warm,37.5,Hasnain CJFAS,-,ISBN - 9781443522786,,,,35,,,,BLB
brown bullhead,brown_bullhead,Ameiurus nebulosus,26.2,30,warm,37.9,Hasnain CJFAS,30,ISBN - 9781443522786,,"24.9, 29-31",,,,29.5,,BRB
yellow bullhead,yellow_bullhead,Ameiurus natalis,28.2,28.3,warm,36.4,Hasnain CJFAS,-,ISBN - 9781443522786,,28.3,,,,,,YEB
chanel catfish,chanel_catfish,Ictalurus punctatus,27.3,29.5,warm,36.7,Hasnain CJFAS,29.5,ISBN - 9781443522786,,25.2,26,32,,31.6,,CCF
white sucker,white_sucker,Catostomus commersonii,23.4,25.5,cool,31.6,Hasnain CJFAS,25.5,ISBN - 9781443522786,"20.6, 18.3,18.9-21.1",24.1,,,GLFC- Adult,27.3,,WTS
